STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
160200,99999, 19851201,   33.6, 6,   27.5, 6, 1030.7, 5, 9999.9, 0,   7.4, 6,   0.0, 6, 999.9, 999.9,   48.7 ,  23.4*, 0.00B,999.9, 000000,
160200,99999, 19851202,   30.1, 6,   27.4, 6, 1034.1, 6, 9999.9, 0,   5.5, 6,   0.0, 6, 999.9, 999.9,   47.1 ,  24.8 , 0.00D,999.9, 000000,
160200,99999, 19851203,   33.3, 6,   28.9, 6, 1032.5, 5, 9999.9, 0,   2.9, 6,   0.0, 6, 999.9, 999.9,   47.5 ,  24.8*, 0.00C,999.9, 000000,
160200,99999, 19851204,   30.9, 8,   27.5, 8, 1032.7, 8, 9999.9, 0,   1.4, 8,   0.0, 8, 999.9, 999.9,   43.5 ,  23.2 , 0.00D,999.9, 000000,
160200,99999, 19851205,   37.4, 9,   31.6, 9, 1028.1, 7, 9999.9, 0,   1.8, 9,   0.0, 9, 999.9, 999.9,   41.0 ,  28.4 , 0.00C,999.9, 000000,
160200,99999, 19851206,   38.4, 8,   32.9, 8, 1022.5, 8, 9999.9, 0,   1.4, 8,   0.2, 8,   1.9, 999.9,   47.8 ,  34.2*, 0.00D,999.9, 000000,
160200,99999, 19851207,   40.8, 8,   35.3, 8, 1021.2, 8, 9999.9, 0,   1.6, 8,   0.0, 8, 999.9, 999.9,   50.5 ,  32.9 , 0.00D,999.9, 000000,
160200,99999, 19851208,   42.0, 8,   38.3, 8, 1019.5, 8, 9999.9, 0,   1.6, 8,   0.0, 8, 999.9, 999.9,   49.6 ,  39.0 , 0.00D,999.9, 010000,
160200,99999, 19851209,   42.4, 8,   38.9, 8, 1019.9, 8, 9999.9, 0,   0.8, 8,   0.0, 8, 999.9, 999.9,   47.3 ,  38.5 , 0.00F,999.9, 010000,
160200,99999, 19851210,   41.9, 8,   38.4, 8, 1017.5, 8, 9999.9, 0,   0.8, 8,   0.0, 8, 999.9, 999.9,   43.7 ,  40.5 , 0.31E,999.9, 110000,
160200,99999, 19851211,   41.1, 9,   32.3, 8, 1020.4, 6, 9999.9, 0,   8.4, 9,   0.0, 8, 999.9, 999.9,   50.0*,  33.8 , 0.04E,999.9, 000000,
160200,99999, 19851212,   36.2, 8,   19.8, 8, 1028.2, 8, 9999.9, 0,  17.9, 8,   2.5, 8,   9.9, 999.9,   48.2 ,  25.7 , 0.00D,999.9, 000000,
160200,99999, 19851213,   34.9,11,   23.7,11, 1031.6, 8, 9999.9, 0,   9.0,11,   0.2,11,   1.9, 999.9,   44.1 ,  27.0*, 0.00D,999.9, 000000,
160200,99999, 19851214,   34.2,18,   27.0,18, 1029.0, 8, 9999.9, 0,   8.1,18,   0.0,18, 999.9, 999.9,   48.2 ,  24.8 , 0.00D,999.9, 000000,
160200,99999, 19851215,   34.3,17,   28.0,17, 1029.5, 8, 9999.9, 0,   9.5,17,   0.0,17, 999.9, 999.9,   50.5 ,  25.3 , 0.00D,999.9, 000000,
160200,99999, 19851216,   36.2,16,   29.7,16, 1025.6, 8, 9999.9, 0,   9.2,16,   0.2,16,   1.9, 999.9,   50.4 ,  23.0*, 0.00D,999.9, 000000,
160200,99999, 19851217,   30.3,10,   28.0,10, 1021.0, 8, 9999.9, 0,   4.7,10,   0.0,10, 999.9, 999.9,   39.7 ,  23.5 , 0.00D,999.9, 000000,
160200,99999, 19851218,   34.9,11,   29.2,11, 1019.2, 8, 9999.9, 0,   9.0,11,   0.0,11, 999.9, 999.9,   50.0 ,  22.6 , 0.00D,999.9, 000000,
160200,99999, 19851219,   39.6,18,   27.2,18, 1019.6, 8, 9999.9, 0,   7.8,18,   0.1,18,   1.9, 999.9,   59.5 ,  26.6*, 0.00D,999.9, 000000,
160200,99999, 19851220,   41.1, 8,   27.7, 8, 1022.3, 8, 9999.9, 0,  11.8, 8,   0.8, 8,   6.0, 999.9,   54.1 ,  30.2*, 0.00D,999.9, 000000,
160200,99999, 19851221,   36.5, 8,   29.3, 8, 1025.6, 8, 9999.9, 0,  11.0, 8,   1.3, 8,   6.0, 999.9,   50.2 ,  28.9*, 0.00D,999.9, 000000,
160200,99999, 19851222,   31.7, 8,   24.1, 8, 1028.1, 8, 9999.9, 0,   9.0, 8,   0.0, 8, 999.9, 999.9,   48.0 ,  23.0 , 0.00D,999.9, 000000,
160200,99999, 19851223,   27.3, 9,   20.2, 9, 1023.9, 7, 9999.9, 0,  13.5, 9,   0.0, 8, 999.9, 999.9,   37.9 ,  20.1*, 0.00D, 17.3, 000000,
160200,99999, 19851224,   25.2,19,   20.1,18, 1022.7, 8, 9999.9, 0,   5.2,19,   0.0,19, 999.9, 999.9,   38.1 ,  15.6 , 0.00D,999.9, 000000,
160200,99999, 19851225,   31.7,19,   22.0,19, 1018.8, 8, 9999.9, 0,   4.3,19,   0.1,19,   1.9, 999.9,   35.6 ,  19.4 , 0.00D,999.9, 000000,
160200,99999, 19851226,   32.8,17,   29.9,17, 1010.3, 8, 9999.9, 0,   0.9,17,   0.0,17, 999.9, 999.9,   39.4 ,  28.4*, 0.31F,  3.9, 001000,
160200,99999, 19851227,   35.3,14,   31.4,14, 1012.0, 7, 9999.9, 0,   1.3,14,   0.0,14, 999.9, 999.9,   39.0 ,  30.7*, 0.00C,  1.6, 000000,
160200,99999, 19851228,   33.4,16,   30.8,16, 1011.6, 8, 9999.9, 0,   0.9,16,   0.0,16, 999.9, 999.9,   35.2*,  32.0*, 0.12E,  0.8, 011000,
160200,99999, 19851229,   34.3,18,   31.9,18, 1001.3, 8, 9999.9, 0,   0.3,18,   0.0,18, 999.9, 999.9,   39.0 ,  32.0 , 0.24E,  0.4, 110000,
160200,99999, 19851230,   40.9,17,   32.6,17, 1007.8, 8, 9999.9, 0,   4.1,17,   1.3,17,   6.0,  15.9,   45.1 ,  32.9 , 0.04E,  0.4, 110000,
160200,99999, 19851231,   39.5,15,   34.7,15, 1005.4, 7, 9999.9, 0,   3.7,14,   0.0,15, 999.9, 999.9,   46.4*,  36.9 , 0.08E,999.9, 010000,
160200,99999, 19860101,   37.4,19,   34.2,18, 1003.5, 7, 9999.9, 0,   1.4,19,   0.0,19, 999.9, 999.9,   39.2*,  35.6*, 0.08E,999.9, 011000,
160200,99999, 19860102,   35.3,19,   30.5,18, 1005.3, 8, 9999.9, 0,   1.5,19,   0.0,19, 999.9, 999.9,   37.8 ,  33.1 , 0.00D,999.9, 000000,
